Year,Team,Totals,TD,YDS,AVG,LG,REC,NO,FC,LOST,OWN,OPP,G20+,G40+,FUM
1922,ltb,Opponents Totals,0,,,,,,,,,,,,
1922,lmin,Team Totals,0,,,,,,,,,,,,
1922,lmin,Opponents Totals,0,,,,,,,,,,,,
1922,c-p,Team Totals,0,,,,,,,,,,,,
1922,c-p,Opponents Totals,0,,,,,,,,,,,,
1923,lkc,Team Totals,0,,,,,,,,,,,,
1923,lkc,Opponents Totals,0,,,,,,,,,,,,
1923,har,Team Totals,0,,,,,,,,,,,,
1923,har,Opponents Totals,0,,,,,,,,,,,,
1923,llarm,Team Totals,0,,,,,,,,,,,,
1923,llarm,Opponents Totals,0,,,,,,,,,,,,
1923,min,Team Totals,0,,,,,,,,,,,,
1923,min,Opponents Totals,0,,,,,,,,,,,,
1923,larm,Team Totals,0,,,,,,,,,,,,
1923,larm,Opponents Totals,0,,,,,,,,,,,,
1923,bal,Team Totals,0,,,,,,,,,,,,
1923,bal,Opponents Totals,0,,,,,,,,,,,,
1923,lten,Team Totals,0,,,,,,,,,,,,
1923,lten,Opponents Totals,0,,,,,,,,,,,,
1923,dul,Team Totals,0,,,,,,,,,,,,
1923,dul,Opponents Totals,0,,,,,,,,,,,,
1923,atl,Team Totals,0,,,,,,,,,,,,
1923,atl,Opponents Totals,0,,,,,,,,,,,,
1923,ham,Team Totals,0,,,,,,,,,,,,
1923,ham,Opponents Totals,0,,,,,,,,,,,,
1923,jac,Team Totals,0,,,,,,,,,,,,
1923,jac,Opponents Totals,0,,,,,,,,,,,,
1923,lind,Team Totals,0,,,,,,,,,,,,
1923,lind,Opponents Totals,0,,,,,,,,,,,,
1923,was,Team Totals,0,,,,,,,,,,,,
1923,was,Opponents Totals,0,,,,,,,,,,,,
1923,col,Team Totals,0,,,,,,,,,,,,
1923,col,Opponents Totals,0,,,,,,,,,,,,
1923,tol,Team Totals,0,,,,,,,,,,,,
1923,tol,Opponents Totals,0,,,,,,,,,,,,
1923,ltb,Team Totals,0,,,,,,,,,,,,
1923,ltb,Opponents Totals,0,,,,,,,,,,,,
1923,lmin,Team Totals,0,,,,,,,,,,,,
1923,lmin,Opponents Totals,0,,,,,,,,,,,,
1923,c-p,Team Totals,0,,,,,,,,,,,,
1923,c-p,Opponents Totals,0,,,,,,,,,,,,
1923,chit,Team Totals,0,,,,,,,,,,,,
1923,chit,Opponents Totals,0,,,,,,,,,,,,
1923,nyj,Team Totals,0,,,,,,,,,,,,
1923,nyj,Opponents Totals,0,,,,,,,,,,,,
1924,lkc,Team Totals,0,,,,,,,,,,,,
1924,lkc,Opponents Totals,0,,,,,,,,,,,,
1924,har,Team Totals,0,,,,,,,,,,,,
1924,har,Opponents Totals,0,,,,,,,,,,,,
1924,llarm,Team Totals,0,,,,,,,,,,,,
1924,llarm,Opponents Totals,0,,,,,,,,,,,,
1924,min,Team Totals,0,,,,,,,,,,,,
1924,min,Opponents Totals,0,,,,,,,,,,,,
1924,larm,Team Totals,0,,,,,,,,,,,,
1924,larm,Opponents Totals,0,,,,,,,,,,,,
1924,bal,Team Totals,0,,,,,,,,,,,,
1924,bal,Opponents Totals,0,,,,,,,,,,,,
1924,lten,Team Totals,0,,,,,,,,,,,,
1924,lten,Opponents Totals,0,,,,,,,,,,,,
1924,dul,Team Totals,0,,,,,,,,,,,,
1924,dul,Opponents Totals,0,,,,,,,,,,,,
1924,atl,Team Totals,0,,,,,,,,,,,,
1924,atl,Opponents Totals,0,,,,,,,,,,,,
1924,ham,Team Totals,0,,,,,,,,,,,,
1924,ham,Opponents Totals,0,,,,,,,,,,,,
1924,jac,Team Totals,0,,,,,,,,,,,,
1924,jac,Opponents Totals,0,,,,,,,,,,,,
1924,lind,Team Totals,0,,,,,,,,,,,,
1924,lind,Opponents Totals,0,,,,,,,,,,,,
1924,was,Team Totals,0,,,,,,,,,,,,
1924,was,Opponents Totals,0,,,,,,,,,,,,
1924,col,Team Totals,0,,,,,,,,,,,,
1924,col,Opponents Totals,0,,,,,,,,,,,,
1924,tol,Team Totals,0,,,,,,,,,,,,
1924,tol,Opponents Totals,0,,,,,,,,,,,,
1924,ltb,Team Totals,0,,,,,,,,,,,,
1924,ltb,Opponents Totals,0,,,,,,,,,,,,
1924,lmin,Team Totals,0,,,,,,,,,,,,
1924,lmin,Opponents Totals,0,,,,,,,,,,,,
1924,c-p,Team Totals,0,,,,,,,,,,,,
1924,c-p,Opponents Totals,0,,,,,,,,,,,,
1925,lkc,Team Totals,0,,,,,,,,,,,,
1925,lkc,Opponents Totals,0,,,,,,,,,,,,
1925,har,Team Totals,0,,,,,,,,,,,,
1925,har,Opponents Totals,0,,,,,,,,,,,,
1925,llarm,Team Totals,0,,,,,,,,,,,,
1925,llarm,Opponents Totals,0,,,,,,,,,,,,
1925,min,Team Totals,0,,,,,,,,,,,,
1925,min,Opponents Totals,0,,,,,,,,,,,,
1925,larm,Team Totals,0,,,,,,,,,,,,
1925,larm,Opponents Totals,1,,,,,,,,,,,,
1925,bal,Team Totals,0,,,,,,,,,,,,
1925,bal,Opponents Totals,0,,,,,,,,,,,,
1925,lten,Team Totals,0,,,,,,,,,,,,
1925,lten,Opponents Totals,0,,,,,,,,,,,,
1925,dul,Team Totals,2,,,,,,,,,,,,
1925,dul,Opponents Totals,0,,,,,,,,,,,,
1925,atl,Team Totals,0,,,,,,,,,,,,
1925,atl,Opponents Totals,0,,,,,,,,,,,,
1925,ham,Team Totals,1,,,,,,,,,,,,
1925,ham,Opponents Totals,0,,,,,,,,,,,,
1925,jac,Team Totals,0,,,,,,,,,,,,
1925,jac,Opponents Totals,0,,,,,,,,,,,,
1925,lind,Team Totals,0,,,,,,,,,,,,
1925,lind,Opponents Totals,0,,,,,,,,,,,,
1925,was,Team Totals,0,,,,,,,,,,,,
1925,was,Opponents Totals,0,,,,,,,,,,,,
1925,col,Team Totals,0,,,,,,,,,,,,
1925,col,Opponents Totals,0,,,,,,,,,,,,
1925,tol,Team Totals,0,,,,,,,,,,,,
1925,tol,Opponents Totals,0,,,,,,,,,,,,
1925,ltb,Team Totals,0,,,,,,,,,,,,
1925,ltb,Opponents Totals,0,,,,,,,,,,,,
1925,lmin,Team Totals,0,,,,,,,,,,,,
1925,lmin,Opponents Totals,0,,,,,,,,,,,,
1925,c-p,Team Totals,0,,,,,,,,,,,,
1925,c-p,Opponents Totals,0,,,,,,,,,,,,
1925,chit,Team Totals,0,,,,,,,,,,,,
1925,chit,Opponents Totals,1,,,,,,,,,,,,
1925,nyj,Team Totals,0,,,,,,,,,,,,
1925,nyj,Opponents Totals,0,,,,,,,,,,,,
1926,lkc,Team Totals,0,,,,,,,,,,,,
1926,lkc,Opponents Totals,0,,,,,,,,,,,,
1926,har,Team Totals,0,,,,,,,,,,,,
1926,har,Opponents Totals,0,,,,,,,,,,,,
1926,llarm,Team Totals,0,,,,,,,,,,,,
1926,llarm,Opponents Totals,0,,,,,,,,,,,,
1926,min,Team Totals,0,,,,,,,,,,,,
1926,min,Opponents Totals,0,,,,,,,,,,,,
1926,larm,Team Totals,0,,,,,,,,,,,,
1926,larm,Opponents Totals,0,,,,,,,,,,,,
1926,bal,Team Totals,0,,,,,,,,,,,,
1926,bal,Opponents Totals,0,,,,,,,,,,,,
1926,lten,Team Totals,0,,,,,,,,,,,,
1926,lten,Opponents Totals,0,,,,,,,,,,,,
1926,dul,Team Totals,0,,,,,,,,,,,,
1926,dul,Opponents Totals,0,,,,,,,,,,,,
1926,atl,Team Totals,0,,,,,,,,,,,,
1926,atl,Opponents Totals,0,,,,,,,,,,,,
1926,ham,Team Totals,0,,,,,,,,,,,,
1926,ham,Opponents Totals,0,,,,,,,,,,,,
1926,jac,Team Totals,1,,,,,,,,,,,,
1926,jac,Opponents Totals,0,,,,,,,,,,,,
1926,lind,Team Totals,0,,,,,,,,,,,,
1926,lind,Opponents Totals,0,,,,,,,,,,,,
1926,was,Team Totals,0,,,,,,,,,,,,
1926,was,Opponents Totals,0,,,,,,,,,,,,
1926,col,Team Totals,0,,,,,,,,,,,,
1926,col,Opponents Totals,0,,,,,,,,,,,,
1926,tol,Team Totals,0,,,,,,,,,,,,
1926,tol,Opponents Totals,0,,,,,,,,,,,,
1926,ltb,Team Totals,0,,,,,,,,,,,,
1926,ltb,Opponents Totals,0,,,,,,,,,,,,
1926,lmin,Team Totals,0,,,,,,,,,,,,
1926,lmin,Opponents Totals,0,,,,,,,,,,,,
1926,c-p,Team Totals,0,,,,,,,,,,,,
1926,c-p,Opponents Totals,0,,,,,,,,,,,,
1926,chit,Team Totals,0,,,,,,,,,,,,
1926,chit,Opponents Totals,1,,,,,,,,,,,,
1926,nyj,Team Totals,0,,,,,,,,,,,,
1926,nyj,Opponents Totals,0,,,,,,,,,,,,
1926,dal,Team Totals,0,,,,,,,,,,,,
1926,dal,Opponents Totals,0,,,,,,,,,,,,
1926,latl,Team Totals,0,,,,,,,,,,,,
1926,latl,Opponents Totals,0,,,,,,,,,,,,
1927,lkc,Team Totals,1,,,,,,,,,,,,
1927,lkc,Opponents Totals,0,,,,,,,,,,,,
1927,har,Team Totals,0,,,,,,,,,,,,
1927,har,Opponents Totals,0,,,,,,,,,,,,
1927,llarm,Team Totals,0,,,,,,,,,,,,
1927,llarm,Opponents Totals,0,,,,,,,,,,,,
1927,min,Team Totals,0,,,,,,,,,,,,
1927,min,Opponents Totals,0,,,,,,,,,,,,
1927,larm,Team Totals,0,,,,,,,,,,,,
1927,larm,Opponents Totals,0,,,,,,,,,,,,
1927,bal,Team Totals,0,,,,,,,,,,,,
1927,bal,Opponents Totals,0,,,,,,,,,,,,
1927,lten,Team Totals,0,,,,,,,,,,,,
1927,lten,Opponents Totals,0,,,,,,,,,,,,
1927,dul,Team Totals,0,,,,,,,,,,,,
1927,dul,Opponents Totals,0,,,,,,,,,,,,
1927,atl,Team Totals,0,,,,,,,,,,,,
1927,atl,Opponents Totals,0,,,,,,,,,,,,
1927,ham,Team Totals,0,,,,,,,,,,,,
1927,ham,Opponents Totals,0,,,,,,,,,,,,
1927,jac,Team Totals,0,,,,,,,,,,,,
1927,jac,Opponents Totals,0,,,,,,,,,,,,
1927,lind,Team Totals,0,,,,,,,,,,,,
1927,lind,Opponents Totals,0,,,,,,,,,,,,
1928,lkc,Team Totals,0,,,,,,,,,,,,
1928,lkc,Opponents Totals,0,,,,,,,,,,,,
1928,har,Team Totals,1,,,,,,,,,,,,
1928,har,Opponents Totals,0,,,,,,,,,,,,
1928,llarm,Team Totals,0,,,,,,,,,,,,
1928,llarm,Opponents Totals,0,,,,,,,,,,,,
1928,min,Team Totals,0,,,,,,,,,,,,
1928,min,Opponents Totals,0,,,,,,,,,,,,
1928,larm,Team Totals,0,,,,,,,,,,,,
1928,larm,Opponents Totals,0,,,,,,,,,,,,
1928,bal,Team Totals,0,,,,,,,,,,,,
1928,bal,Opponents Totals,0,,,,,,,,,,,,
1928,lten,Team Totals,0,,,,,,,,,,,,
1928,lten,Opponents Totals,0,,,,,,,,,,,,
1928,dul,Team Totals,0,,,,,,,,,,,,
1928,dul,Opponents Totals,0,,,,,,,,,,,,
1928,atl,Team Totals,0,,,,,,,,,,,,
1928,atl,Opponents Totals,1,,,,,,,,,,,,
1928,ham,Team Totals,0,,,,,,,,,,,,
1928,ham,Opponents Totals,0,,,,,,,,,,,,
1929,lkc,Team Totals,0,,,,,,,,,,,,
1929,lkc,Opponents Totals,0,,,,,,,,,,,,
1929,har,Team Totals,1,,,,,,,,,,,,
1929,har,Opponents Totals,0,,,,,,,,,,,,
1929,llarm,Team Totals,0,,,,,,,,,,,,
1929,llarm,Opponents Totals,0,,,,,,,,,,,,
1929,min,Team Totals,0,,,,,,,,,,,,
1929,min,Opponents Totals,0,,,,,,,,,,,,
1929,larm,Team Totals,0,,,,,,,,,,,,
1929,larm,Opponents Totals,0,,,,,,,,,,,,
1929,bal,Team Totals,0,,,,,,,,,,,,
1929,bal,Opponents Totals,0,,,,,,,,,,,,
1929,lten,Team Totals,0,,,,,,,,,,,,
1929,lten,Opponents Totals,0,,,,,,,,,,,,
1929,dul,Team Totals,0,,,,,,,,,,,,
1929,dul,Opponents Totals,0,,,,,,,,,,,,
1929,atl,Team Totals,0,,,,,,,,,,,,
1929,atl,Opponents Totals,1,,,,,,,,,,,,
1929,ham,Team Totals,1,,,,,,,,,,,,
1929,ham,Opponents Totals,1,,,,,,,,,,,,
1929,jac,Team Totals,0,,,,,,,,,,,,
1929,jac,Opponents Totals,0,,,,,,,,,,,,
1929,lind,Team Totals,0,,,,,,,,,,,,
1929,lind,Opponents Totals,0,,,,,,,,,,,,
1930,lkc,Team Totals,0,,,,,,,,,,,,
1930,lkc,Opponents Totals,0,,,,,,,,,,,,
1930,har,Team Totals,0,,,,,,,,,,,,
1930,har,Opponents Totals,0,,,,,,,,,,,,
1930,llarm,Team Totals,0,,,,,,,,,,,,
1930,llarm,Opponents Totals,0,,,,,,,,,,,,
1930,min,Team Totals,0,,,,,,,,,,,,
1930,min,Opponents Totals,0,,,,,,,,,,,,
1930,larm,Team Totals,1,,,,,,,,,,,,
1930,larm,Opponents Totals,0,,,,,,,,,,,,
1930,bal,Team Totals,0,,,,,,,,,,,,
1930,bal,Opponents Totals,0,,,,,,,,,,,,
1930,lten,Team Totals,0,,,,,,,,,,,,
1930,lten,Opponents Totals,0,,,,,,,,,,,,
1930,dul,Team Totals,1,,,,,,,,,,,,
1930,dul,Opponents Totals,0,,,,,,,,,,,,
1930,atl,Team Totals,0,,,,,,,,,,,,
1930,atl,Opponents Totals,2,,,,,,,,,,,,
1930,ham,Team Totals,0,,,,,,,,,,,,
1930,ham,Opponents Totals,0,,,,,,,,,,,,
1930,jac,Team Totals,0,,,,,,,,,,,,
1930,jac,Opponents Totals,0,,,,,,,,,,,,
1931,lkc,Team Totals,1,,,,,,,,,,,,
1931,lkc,Opponents Totals,0,,,,,,,,,,,,
1931,har,Team Totals,0,,,,,,,,,,,,
1931,har,Opponents Totals,0,,,,,,,,,,,,
1931,llarm,Team Totals,0,,,,,,,,,,,,
1931,llarm,Opponents Totals,0,,,,,,,,,,,,
1931,min,Team Totals,0,,,,,,,,,,,,
1931,min,Opponents Totals,0,,,,,,,,,,,,
1931,larm,Team Totals,0,,,,,,,,,,,,
1931,larm,Opponents Totals,0,,,,,,,,,,,,
1931,bal,Team Totals,0,,,,,,,,,,,,
1931,bal,Opponents Totals,1,,,,,,,,,,,,
1931,lten,Team Totals,0,,,,,,,,,,,,
1931,lten,Opponents Totals,0,,,,,,,,,,,,
1931,dul,Team Totals,0,,,,,,,,,,,,
1931,dul,Opponents Totals,0,,,,,,,,,,,,
1931,atl,Team Totals,0,,,,,,,,,,,,
1931,atl,Opponents Totals,0,,,,,,,,,,,,
1931,ham,Team Totals,0,,,,,,,,,,,,
1931,ham,Opponents Totals,0,,,,,,,,,,,,
1932,lkc,Team Totals,0,,,,,,,,,,,,
1932,lkc,Opponents Totals,0,,,,,,,,,,,,
1932,har,Team Totals,1,,,,,,,,,,,,
1932,har,Opponents Totals,0,,,,,,,,,,,,
1932,llarm,Team Totals,0,,,,,,,,,,,,
1932,llarm,Opponents Totals,0,,,,,,,,,,,,
1932,min,Team Totals,1,,,,,,,,,,,,
1932,min,Opponents Totals,0,,,,,,,,,,,,
1932,larm,Team Totals,0,,,,,,,,,,,,
1932,larm,Opponents Totals,0,,,,,,,,,,,,
1932,bal,Team Totals,0,,,,,,,,,,,,
1932,bal,Opponents Totals,0,,,,,,,,,,,,
1932,lten,Team Totals,0,,,,,,,,,,,,
1932,lten,Opponents Totals,0,,,,,,,,,,,,
1932,dul,Team Totals,0,,,,,,,,,,,,
1932,dul,Opponents Totals,1,,,,,,,,,,,,
1933,lkc,Team Totals,1,,,,,,,,,,,,
1933,lkc,Opponents Totals,0,,,,,,,,,,,,
1933,har,Team Totals,0,,,,,,,,,,,,
1933,har,Opponents Totals,0,,,,,,,,,,,,
1933,llarm,Team Totals,0,,,,,,,,,,,,
1933,llarm,Opponents Totals,0,,,,,,,,,,,,
1933,min,Team Totals,0,,,,,,,,,,,,
1933,min,Opponents Totals,0,,,,,,,,,,,,
1933,larm,Team Totals,0,,,,,,,,,,,,
1933,larm,Opponents Totals,0,,,,,,,,,,,,
1933,bal,Team Totals,0,,,,,,,,,,,,
1933,bal,Opponents Totals,0,,,,,,,,,,,,
1933,lten,Team Totals,0,,,,,,,,,,,,
1933,lten,Opponents Totals,0,,,,,,,,,,,,
1933,dul,Team Totals,0,,,,,,,,,,,,
1933,dul,Opponents Totals,0,,,,,,,,,,,,
1933,atl,Team Totals,0,,,,,,,,,,,,
1933,atl,Opponents Totals,0,,,,,,,,,,,,
1933,ham,Team Totals,0,,,,,,,,,,,,
1933,ham,Opponents Totals,0,,,,,,,,,,,,
1934,lkc,Team Totals,1,,,,,,,,,,,,
1934,lkc,Opponents Totals,0,,,,,,,,,,,,
1934,har,Team Totals,0,,,,,,,,,,,,
1934,har,Opponents Totals,0,,,,,,,,,,,,
1934,llarm,Team Totals,0,,,,,,,,,,,,
1934,llarm,Opponents Totals,0,,,,,,,,,,,,
1934,min,Team Totals,0,,,,,,,,,,,,
1934,min,Opponents Totals,0,,,,,,,,,,,,
1934,larm,Team Totals,0,,,,,,,,,,,,
1934,larm,Opponents Totals,0,,,,,,,,,,,,
1934,bal,Team Totals,0,,,,,,,,,,,,
1934,bal,Opponents Totals,0,,,,,,,,,,,,
1934,lten,Team Totals,0,,,,,,,,,,,,
1934,lten,Opponents Totals,0,,,,,,,,,,,,
1934,dul,Team Totals,0,,,,,,,,,,,,
1934,dul,Opponents Totals,1,,,,,,,,,,,,
1934,atl,Team Totals,2,,,,,,,,,,,,
1934,atl,Opponents Totals,0,,,,,,,,,,,,
1934,jac,Team Totals,0,,,,,,,,,,,,
1934,jac,Opponents Totals,0,,,,,,,,,,,,
1935,lkc,Team Totals,0,,,,,,,,,,,,
1935,lkc,Opponents Totals,1,,,,,,,,,,,,
1935,har,Team Totals,0,,,,,,,,,,,,
1935,har,Opponents Totals,0,,,,,,,,,,,,
1935,llarm,Team Totals,0,,,,,,,,,,,,
1935,llarm,Opponents Totals,0,,,,,,,,,,,,
1935,min,Team Totals,1,,,,,,,,,,,,
1935,min,Opponents Totals,0,,,,,,,,,,,,
1935,larm,Team Totals,0,,,,,,,,,,,,
1935,larm,Opponents Totals,0,,,,,,,,,,,,
1935,bal,Team Totals,0,,,,,,,,,,,,
1935,bal,Opponents Totals,0,,,,,,,,,,,,
1935,lten,Team Totals,0,,,,,,,,,,,,
1935,lten,Opponents Totals,0,,,,,,,,,,,,
1935,dul,Team Totals,0,,,,,,,,,,,,
1935,dul,Opponents Totals,0,,,,,,,,,,,,
1935,atl,Team Totals,0,,,,,,,,,,,,
1935,atl,Opponents Totals,0,,,,,,,,,,,,
1936,lkc,Team Totals,0,,,,,,,,,,,,
1936,lkc,Opponents Totals,0,,,,,,,,,,,,
1936,har,Team Totals,0,,,,,,,,,,,,
1936,har,Opponents Totals,0,,,,,,,,,,,,
1936,llarm,Team Totals,0,,,,,,,,,,,,
1936,llarm,Opponents Totals,0,,,,,,,,,,,,
1936,min,Team Totals,0,,,,,,,,,,,,
1936,min,Opponents Totals,0,,,,,,,,,,,,
1936,larm,Team Totals,0,,,,,,,,,,,,
1936,larm,Opponents Totals,0,,,,,,,,,,,,
1936,bal,Team Totals,0,,,,,,,,,,,,
1936,bal,Opponents Totals,0,,,,,,,,,,,,
1936,lten,Team Totals,0,,,,,,,,,,,,
1936,lten,Opponents Totals,0,,,,,,,,,,,,
1936,dul,Team Totals,0,,,,,,,,,,,,
1936,dul,Opponents Totals,0,,,,,,,,,,,,
1936,atl,Team Totals,0,,,,,,,,,,,,
1936,atl,Opponents Totals,0,,,,,,,,,,,,
1937,lkc,Team Totals,0,,,,,,,,,,,,
1937,lkc,Opponents Totals,0,,,,,,,,,,,,
1937,har,Team Totals,0,,,,,,,,,,,,
1937,har,Opponents Totals,0,,,,,,,,,,,,
1937,llarm,Team Totals,1,,,,,,,,,,,,
1937,llarm,Opponents Totals,0,,,,,,,,,,,,
1937,min,Team Totals,0,,,,,,,,,,,,
1937,min,Opponents Totals,0,,,,,,,,,,,,
1937,larm,Team Totals,0,,,,,,,,,,,,
1937,larm,Opponents Totals,1,,,,,,,,,,,,
1937,bal,Team Totals,0,,,,,,,,,,,,
1937,bal,Opponents Totals,0,,,,,,,,,,,,
1937,lten,Team Totals,0,,,,,,,,,,,,
1937,lten,Opponents Totals,0,,,,,,,,,,,,
1937,dul,Team Totals,0,,,,,,,,,,,,
1937,dul,Opponents Totals,0,,,,,,,,,,,,
1937,atl,Team Totals,0,,,,,,,,,,,,
1937,atl,Opponents Totals,0,,,,,,,,,,,,
1937,ham,Team Totals,0,,,,,,,,,,,,
1937,ham,Opponents Totals,0,,,,,,,,,,,,
1938,lkc,Team Totals,0,,,,,,,,,,,,
1938,lkc,Opponents Totals,0,,,,,,,,,,,,
1938,har,Team Totals,0,,,,,,,,,,,,
1938,har,Opponents Totals,0,,,,,,,,,,,,
1938,llarm,Team Totals,0,,,,,,,,,,,,
1938,llarm,Opponents Totals,1,,,,,,,,,,,,
1938,min,Team Totals,1,,,,,,,,,,,,
1938,min,Opponents Totals,0,,,,,,,,,,,,
1938,larm,Team Totals,0,,,,,,,,,,,,
1938,larm,Opponents Totals,0,,,,,,,,,,,,
1938,bal,Team Totals,0,,,,,,,,,,,,
1938,bal,Opponents Totals,0,,,,,,,,,,,,
1938,lten,Team Totals,0,,,,,,,,,,,,
1938,lten,Opponents Totals,0,,,,,,,,,,,,
1938,dul,Team Totals,0,,,,,,,,,,,,
1938,dul,Opponents Totals,0,,,,,,,,,,,,
1938,atl,Team Totals,0,,,,,,,,,,,,
1938,atl,Opponents Totals,0,,,,,,,,,,,,
1938,ham,Team Totals,0,,,,,,,,,,,,
1938,ham,Opponents Totals,0,,,,,,,,,,,,
1939,lkc,Team Totals,0,,,,,,,,,,,,
1939,lkc,Opponents Totals,0,,,,,,,,,,,,
1939,har,Team Totals,1,,,,,,,,,,,,
1939,har,Opponents Totals,0,,,,,,,,,,,,
1939,llarm,Team Totals,0,,,,,,,,,,,,
